20230312 18:50:18 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java40 - test started
20230313 00:59:59 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java74 - Inside test getUserData
20230313 00:59:59 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:00:20 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java97 - Inside test CreateUserData
20230313 01:00:20 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:00:21 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java122 - Inside test updateUserData
20230313 01:00:21 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:00:24 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java143 - Inside test deleteUserData
20230313 01:00:24 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:01:13 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java74 - Inside test getUserData
20230313 01:01:13 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:01:33 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java97 - Inside test CreateUserData
20230313 01:01:33 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:01:34 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java122 - Inside test updateUserData
20230313 01:01:34 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:01:37 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java143 - Inside test deleteUserData
20230313 01:01:37 INFO  [main] testsLeti.ApiAllTestsLeti ApiAllTestsLeti.java45 - Inside test Login to API
20230313 01:21:43 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java75 - Inside test getUserData
20230313 01:21:43 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java45 - Inside test Login to API
20230313 01:21:45 INFO  [main] testsLeti.ApiAllTestsLetiWithConstants ApiAllTestsLetiWithConstants.java98 - Inside test CreateUserData
